"","date","cycle","amount","recipcode","occupation","employer","orgname","contribid"
"1","06/17/2002",2002,200,"PB","","BANK OF AMERICA","","b0060541592 "
"2","12/31/2001",2002,250,"PI","","GOLDMAN SACHS","","f1100306547 "
"3","12/20/2001",2002,1000,"RI","","FIRST BANK","First Bank","g1100398491 "
"4","12/05/2001",2002,250,"RW","","FIRST BANK","First Bank","g1100564821 "
"5","06/04/2002",2002,200,"RW","","BANK OF AMERICA","Investments","a0001662760 "
"6","08/26/2002",2002,250,"DW","","REGIONS BANK","Regions Bank","g1100802590 "
"7","06/05/2002",2002,250,"RW","","REGIONS BANK","Regions Bank","g1100745149 "
"8","07/02/2002",2002,200,"RW","","REGIONS BANK","Regions Bank","d1007791721 "
"9","08/01/2001",2002,200,"RW","","PNC BANK","PNC Bank Corp","b06083590791"
"10","06/08/2002",2002,1000,"RI","","PNC BANK","PNC Bank Corp","g1100781625 "
"11","06/30/2001",2002,500,"DW","","STATE STREET","State Street Bank & Trust","g1100471163 "
"12","06/27/2002",2002,2000,"DP","","MERRILL LYNCH","Merrill Lynch","c0070058291 "
"13","04/30/2001",2002,10000,"DP","","GOLDMAN SACHS","Goldman Sachs","U00000035611"
"14","08/21/2002",2002,200,"RW","","BANK OF AMERICA","Bank of America","g1100774100 "
"15","09/30/2002",2002,573,"DL","","JP MORGAN","JPMorgan Chase & Co","g1100637874U"
"16","05/14/2002",2002,900,"DL","","MERRILL LYNCH","Merrill Lynch","f0000067841 "
"17","08/15/2002",2002,2000,"DP","","MORGAN STANLEY","Morgan Stanley","e1110792808 "
"18","09/24/2002",2002,627,"RW","","KEY BANK","KeyCorp","g1100888328 "
"19","05/15/2002",2002,2000,"DP","","GOLDMAN SACHS","Goldman Sachs","U0000003559A"
"20","04/30/2001",2002,1000,"DI","","JP MORGAN","JP Morgan H&Q","a0001145039 "
"21","01/24/2001",2002,3264,"RP","","GOLDMAN SACHS","Goldman Sachs","e11106721231"
"22","06/11/2002",2002,300,"DL","","GOLDMAN SACHS","Goldman Sachs","U00000001941"
"23","04/30/2001",2002,10000,"DP","","GOLDMAN SACHS","Goldman Sachs","U00000035611"
"24","08/15/2002",2002,10000,"DP","","GOLDMAN SACHS","Goldman Sachs","a00000636791"
"25","01/31/2001",2002,2210,"RP","","MORGAN STANLEY","Morgan Stanley","f0000123641 "
"26","07/30/2002",2002,10000,"DP","","GOLDMAN SACHS","Goldman Sachs","U00000035601"
"27","08/14/2002",2002,20000,"DP","","GOLDMAN SACHS","Goldman Sachs","U0000003559A"
"28","08/22/2002",2002,20000,"DP","","GOLDMAN SACHS","Goldman Sachs","U0000003827 "
"29","09/17/2001",2002,10000,"DP","","GOLDMAN SACHS","Goldman Sachs","f00000239351"
"30","12/18/2001",2002,2000,"RI","","FIRST BANK","FirstBank","U00000043631"
"31","06/27/2002",2002,2000,"DP","","MERRILL LYNCH","Merrill Lynch","c0070058291 "
"32","08/14/2002",2002,20000,"DP","","GOLDMAN SACHS","Goldman Sachs","U00000043291"
"33","09/06/2002",2002,5000,"DP","","GOLDMAN SACHS","Goldman Sachs","U00000035571"
"34","05/14/2002",2002,400,"DP","","BANK OF AMERICA","Bank of America","d0000857523 "
"35","06/29/2001",2002,6666,"DP","","GOLDMAN SACHS","Goldman Sachs","U00000000561"
"36","06/29/2001",2002,6666,"DP","","GOLDMAN SACHS","Goldman Sachs","U0000003559A"
"37","05/08/2002",2002,10000,"RP","","MORGAN STANLEY","Morgan Stanley","g11005277751"
"38","06/12/2001",2002,5000,"DP","","GOLDMAN SACHS","Goldman Sachs","g1100470607 "
"39","10/14/2002",2002,2500,"DP","","GOLDMAN SACHS","Goldman Sachs","d1006646020 "
"40","05/22/2002",2002,10000,"DP","","GOLDMAN SACHS","Goldman Sachs","f1000638865 "
"41","11/07/2001",2002,750,"RL","","WELLS FARGO","Wells Fargo","g1100556689 "
"42","12/27/2001",2002,-1000,"RI","","FIRST BANK","FirstBank","U00000043631"
"43","09/06/2002",2002,10000,"DP","","GOLDMAN SACHS","Goldman Sachs","U00000043711"
"44","07/31/2001",2002,10000,"RP","","MORGAN STANLEY","Morgan Stanley","g11005277751"
"45","12/18/2001",2002,5000,"DP","","GOLDMAN SACHS","Goldman Sachs","f1000638865 "
"46","12/31/2001",2002,400,"DL","","BANK OF AMERICA","Bank of America","g1100550924 "
"47","08/20/2001",2002,5000,"DP","","GOLDMAN SACHS","Goldman Sachs","d1006914850 "
"48","01/10/2001",2002,5000,"RP","","MORGAN STANLEY","Morgan Stanley","e1110651620 "
"49","07/08/2002",2002,200,"RW","","MERRILL LYNCH","Merrill Lynch","g1100932921 "
"50","09/05/2002",2002,200,"DW","","MERRILL LYNCH","Merrill Lynch","d1004910360 "
"51","06/14/2002",2002,200,"DL","","MERRILL LYNCH","Merrill Lynch","e1110905010 "
"52","03/10/2001",2002,200,"RP","","MERRILL LYNCH","Merrill Lynch","e1120162176 "
"53","03/29/2002",2002,200,"RW","","MORGAN STANLEY","Morgan Stanley","g1100606877 "
"54","05/21/2002",2002,200,"DL","","NORTHERN TRUST","Northern Trust","d0000820944 "
"55","06/07/2001",2002,250,"DW","","BANK OF AMERICA","Bank of America","c0120102545A"
"56","05/22/2002",2002,250,"RW","","MERRILL LYNCH","Merrill Lynch","f00000480421"
"57","09/19/2002",2002,250,"RW","","BANK OF AMERICA","Bank of America","d1007727328@"
"58","07/18/2002",2002,250,"DL","","BB&T","BB&T Corp","g1100880578 "
"59","11/02/2002",2002,250,"RL","","WELLS FARGO","Wells Fargo","g1106279768@"
"60","05/08/2002",2002,250,"RP","","GOLDMAN SACHS","Goldman Sachs","g1100792533 "
"61","06/03/2002",2002,250,"RP","","BANK OF AMERICA","Bank of America","a00003078101"
"62","08/26/2002",2002,250,"RW","","MERRILL LYNCH","Merrill Lynch","f00000374571"
"63","06/22/2002",2002,250,"DP","","MERRILL LYNCH","Merrill Lynch","f1000209532 "
"64","07/10/2002",2002,250,"RW","","MORGAN STANLEY","Morgan Stanley","d1007614220 "
"65","07/10/2002",2002,250,"RW","","MORGAN STANLEY","Morgan Stanley","d1007614220 "
"66","06/21/2002",2002,500,"DI","","GOLDMAN SACHS","Goldman Sachs","a00004350061"
"67","12/04/2001",2002,250,"DW","","BANK OF AMERICA","Bank of America","g1100582646 "
"68","12/04/2001",2002,250,"DW","","BANK OF AMERICA","Bank of America","g1100548810 "
"69","12/14/2001",2002,250,"DW","","GOLDMAN SACHS","Goldman Sachs","e1110407603 "
"70","06/04/2002",2002,250,"DW","","MORGAN STANLEY","Morgan Stanley","a0000982682 "
"71","11/13/2001",2002,250,"DW","","MERRILL LYNCH","Merrill Lynch","e1110837058 "
"72","06/07/2001",2002,250,"RP","","MORGAN STANLEY","Morgan Stanley","g1100516948 "
"73","11/30/2001",2002,500,"DW","","MORGAN STANLEY","Morgan Stanley","U00000043241"
"74","08/19/2002",2002,500,"RN","","GOLDMAN SACHS","Goldman Sachs","f10002517311"
"75","05/21/2002",2002,250,"RW","","BANK OF AMERICA","Bank of America","f1100159570 "
"76","07/18/2002",2002,250,"DL","","BANK OF AMERICA","Bank of America","e0000194106 "
"77","11/29/2001",2002,250,"RL","","WELLS FARGO","Wells Fargo","g1100569485 "
"78","04/08/2002",2002,250,"DL","","BANK OF AMERICA","Bank of America","e1110714744 "
"79","06/27/2002",2002,250,"DP","","BANK OF AMERICA","Bank of America","b0060983995 "
"80","06/27/2002",2002,250,"DI","","GOLDMAN SACHS","Goldman Sachs","g1100814934 "
"81","06/21/2002",2002,250,"DI","","GOLDMAN SACHS","Goldman Sachs","g1100379030 "
"82","08/28/2002",2002,250,"RW","","MORGAN STANLEY","Morgan Stanley","f1000648355 "
"83","07/22/2002",2002,250,"RW","","WELLS FARGO","Wells Fargo","g1100683243 "
"84","06/17/2002",2002,250,"DI","","MORGAN STANLEY","Morgan Stanley","g1100860168 "
"85","06/05/2002",2002,250,"RW","","BANK OF AMERICA","Bank of America","g1100770250 "
"86","09/26/2002",2002,250,"DW","","WELLS FARGO","Wells Fargo","g1100951385 "
"87","05/14/2002",2002,250,"RW","","BANK OF AMERICA","Bank of America","g1100799060 "
"88","11/24/2001",2002,250,"RL","","WELLS FARGO","Wells Fargo","g1100556689 "
"89","06/27/2001",2002,250,"DW","","MERRILL LYNCH","Merrill Lynch","g1100482247 "
"90","12/20/2001",2002,500,"RW","","BANK OF AMERICA","Bank of America","a00003078101"
"91","12/03/2001",2002,250,"DW","","BANK OF AMERICA","Bank of America","e1110538703 "
"92","12/11/2001",2002,250,"DW","","BANK OF AMERICA","Bank of America","g1100560867 "
"93","09/06/2002",2002,250,"DL","","MERRILL LYNCH","Merrill Lynch","g1100942856 "
"94","04/05/2001",2002,250,"RL","","MORGAN STANLEY","Morgan Stanley","f0000266555 "
"95","07/16/2002",2002,500,"DL","","BANK OF AMERICA","Bank of America","g11008436661"
"96","08/29/2002",2002,500,"RW","","MERRILL LYNCH","Merrill Lynch","f00000374571"
"97","09/26/2002",2002,500,"DL","","MORGAN STANLEY","Morgan Stanley","g1100938097 "
"98","01/31/2002",2002,250,"DI","","MERRILL LYNCH","Merrill Lynch","g1100817920 "
"99","07/12/2002",2002,500,"RW","","BANK OF AMERICA","Bank of America","f0000076083@"
"100","04/06/2001",2002,250,"DI","","MERRILL LYNCH","Merrill Lynch","c0070062776 "
"101","10/29/2001",2002,500,"DW","","GOLDMAN SACHS","Goldman Sachs","U00000035611"
"102","06/15/2002",2002,250,"DI","","MERRILL LYNCH","Merrill Lynch","b0608367205 "
"103","04/06/2001",2002,500,"DI","","MERRILL LYNCH","Merrill Lynch","Y0000034709L"
"104","06/25/2002",2002,500,"RW","","BANK OF AMERICA","Bank of America","g1100813329 "
"105","05/21/2002",2002,500,"RW","","BANK OF AMERICA","Bank of America","f1000194092 "
"106","10/19/2002",2002,500,"DL","","JP MORGAN","JPMorgan Chase & Co","f1000694573 "
"107","05/14/2002",2002,500,"DW","","BB&T","BB&T Corp","c0010129877 "
"108","05/18/2002",2002,500,"RL","","WELLS FARGO","Wells Fargo","g1100556689 "
"109","10/31/2001",2002,500,"DW","","MORGAN STANLEY","Morgan Stanley","g11004384721"
"110","05/14/2002",2002,500,"DW","","BB&T","BB&T Corp","c0010129877 "
"111","08/02/2002",2002,500,"RW","","WELLS FARGO","Wells Fargo","d0000888664 "
"112","05/29/2002",2002,500,"RW","","BANK OF AMERICA","Bank of America","g1100739728 "
"113","05/15/2002",2002,500,"RW","","BANK OF AMERICA","Bank of America","f0000300188 "
"114","08/28/2002",2002,500,"RP","","MERRILL LYNCH","Merrill Lynch","d1006661350 "
"115","08/02/2002",2002,500,"RW","","MERRILL LYNCH","Merrill Lynch","g1100719001 "
"116","11/01/2001",2002,500,"DW","","WELLS FARGO","Wells Fargo","g1100565226 "
"117","06/29/2002",2002,500,"DL","","MERRILL LYNCH","Merrill Lynch","e1110837058 "
"118","05/17/2002",2002,500,"RW","","BANK OF AMERICA","Bank of America","b9060166581 "
"119","03/12/2002",2002,500,"RI","","MORGAN STANLEY","Morgan Stanley","d1005870320 "
"120","03/12/2002",2002,500,"RI","","MORGAN STANLEY","Morgan Stanley","f1000665970 "
"121","04/06/2001",2002,500,"RI","","MERRILL LYNCH","Merrill Lynch","c0060437280 "
"122","11/18/2002",2002,500,"DW","","MORGAN STANLEY","Morgan Stanley","a0000401820 "
"123","04/25/2002",2002,500,"RL","","MERRILL LYNCH","Merrill Lynch","g1100791130 "
"124","01/21/2002",2002,500,"RI","","MORGAN STANLEY","Morgan Stanley","g1100809345 "
"125","05/21/2002",2002,500,"RL","","MERRILL LYNCH","Merrill Lynch","g1100520201 "
"126","05/09/2002",2002,500,"DW","","GOLDMAN SACHS","Goldman Sachs","f1100337115 "
"127","10/25/2001",2002,500,"RI","","BANK OF AMERICA","Bank of America","g1100559680 "
"128","01/14/2002",2002,500,"RP","","MERRILL LYNCH","Merrill Lynch","d1006661350 "
"129","05/18/2002",2002,500,"RL","","WELLS FARGO","Wells Fargo","g1100861770 "
"130","08/05/2002",2002,500,"DW","","JP MORGAN","JPMorgan Chase & Co","e1110630382 "
"131","05/01/2002",2002,500,"RW","","BANK OF AMERICA","Bank of America","g1100791417 "
"132","06/21/2002",2002,500,"DI","","GOLDMAN SACHS","Goldman Sachs","d0000782969 "
"133","05/18/2002",2002,500,"RL","","WELLS FARGO","Wells Fargo","g1100368623 "
"134","05/17/2002",2002,500,"RW","","BANK OF AMERICA","Bank of America","g1100745246 "
"135","05/18/2002",2002,500,"RL","","WELLS FARGO","Wells Fargo","d0000994931 "
"136","05/08/2002",2002,1000,"DL","","GOLDMAN SACHS","Goldman Sachs","b0060079193 "
"137","02/27/2002",2002,1000,"RW","","BANK OF AMERICA","Bank of America","g1100711896 "
"138","08/30/2002",2002,500,"DL","","MORGAN STANLEY","Morgan Stanley","g1100939947 "
"139","06/29/2002",2002,500,"DL","","MERRILL LYNCH","Merrill Lynch","g1100767112 "
"140","04/22/2002",2002,1000,"DL","","JP MORGAN","JPMorgan Chase & Co","a00010554681"
"141","04/22/2002",2002,1000,"DL","","JP MORGAN","JPMorgan Chase & Co","a00010554681"
"142","05/02/2002",2002,500,"DL","","BANK OF AMERICA","Bank of America","g1100839782 "
"143","05/24/2002",2002,500,"RW","","BANK OF AMERICA","Bank of America","g1100794887 "
"144","05/14/2002",2002,500,"RW","","BANK OF AMERICA","Bank of America","g1100773733 "
"145","03/22/2001",2002,500,"DP","","NORTHERN TRUST","Northern Trust","c0070206930 "
"146","08/13/2002",2002,500,"DL","","BANK OF AMERICA","Bank of America","g1100479477 "
"147","12/11/2001",2002,500,"DW","","BANK OF AMERICA","Bank of America","g1100415202 "
"148","04/16/2001",2002,500,"DI","","MERRILL LYNCH","Merrill Lynch","g1100468374 "
"149","02/21/2001",2002,500,"DI","","MERRILL LYNCH","Merrill Lynch","b0608626327 "
"150","04/06/2001",2002,500,"DI","","MERRILL LYNCH","Merrill Lynch","g1100449901 "
"151","04/17/2002",2002,500,"DL","","JP MORGAN","JPMorgan Chase & Co","a0001737679 "
"152","03/25/2002",2002,1000,"RW","","MORGAN STANLEY","Morgan Stanley","e1110528947 "
"153","05/24/2002",2002,500,"RW","","BANK OF AMERICA","Bank of America","g1100774100 "
"154","05/14/2002",2002,1000,"DL","","JP MORGAN","JPMorgan Chase & Co","g0010658342 "
"155","08/21/2001",2002,1000,"RP","","BANK OF AMERICA","Bank of America","f1000665853 "
"156","12/20/2001",2002,1000,"DW","","GOLDMAN SACHS","Goldman Sachs","d0000542977 "
"157","07/31/2002",2002,1000,"RW","","MORGAN STANLEY","Morgan Stanley","g1100893731 "
"158","07/31/2002",2002,1000,"RW","","MORGAN STANLEY","Morgan Stanley","g1100650240 "
"159","06/20/2002",2002,1000,"DL","","MORGAN STANLEY","Morgan Stanley","g1100850840 "
"160","07/30/2002",2002,1000,"DW","","JP MORGAN","JPMorgan Chase & Co","b00600564991"
"161","08/05/2002",2002,1000,"DW","","JP MORGAN","JPMorgan Chase & Co","f00001226171"
"162","09/30/2002",2002,1000,"DW","","GOLDMAN SACHS","Goldman Sachs","f00000239351"
"163","07/30/2002",2002,1000,"DW","","JP MORGAN","JPMorgan Chase & Co","g11004730021"
"164","09/30/2002",2002,1000,"DW","","GOLDMAN SACHS","Goldman Sachs","U00000001941"
"165","09/30/2002",2002,1000,"DW","","GOLDMAN SACHS","Goldman Sachs","U00000035601"
"166","03/28/2001",2002,1000,"DI","","GOLDMAN SACHS","Goldman Sachs","U00000043291"
"167","04/19/2001",2002,1000,"DI","","MERRILL LYNCH","Merrill Lynch","g11004442601"
"168","07/30/2002",2002,1000,"DW","","JP MORGAN","JPMorgan Chase & Co","d00009290291"
"169","06/11/2002",2002,1000,"RW","","MORGAN STANLEY","Morgan Stanley","d00004198871"
"170","12/27/2001",2002,1000,"RI","","FIRST BANK","FirstBank","U00000043631"
"171","02/21/2001",2002,1000,"DI","","MERRILL LYNCH","Merrill Lynch","U00000037071"
"172","10/13/2001",2002,1000,"RI","","BANK OF AMERICA","Bank of America","g11005559371"
"173","06/11/2002",2002,1000,"RW","","MORGAN STANLEY","Morgan Stanley","d00004198871"
"174","09/30/2002",2002,1000,"DW","","GOLDMAN SACHS","Goldman Sachs","g11008157541"
"175","09/26/2002",2002,1000,"DL","","GOLDMAN SACHS","Goldman Sachs","a0000959198 "
"176","12/31/2001",2002,1000,"DL","","GOLDMAN SACHS","Goldman Sachs","b0608629306 "
"177","04/17/2002",2002,1000,"DI","","MORGAN STANLEY","Morgan Stanley","g1100611611 "
"178","05/14/2002",2002,1000,"DP","","JP MORGAN","JPMorgan Chase & Co","b0060510248 "
"179","08/14/2002",2002,1000,"DW","","JP MORGAN","JPMorgan Chase & Co","c0110237545 "
"180","04/26/2002",2002,1000,"DW","","MERRILL LYNCH","Merrill Lynch","a0000834255 "
"181","04/26/2001",2002,1000,"DW","","JP MORGAN","JPMorgan Chase & Co","a00010554681"
"182","07/30/2002",2002,1000,"DW","","JP MORGAN","JPMorgan Chase & Co","g1100817766 "
"183","08/12/2001",2002,1000,"DI","","MORGAN STANLEY","Morgan Stanley","f0000137995 "
"184","06/03/2002",2002,1000,"DW","","MERRILL LYNCH","Merrill Lynch","f1100179606 "
"185","12/11/2001",2002,1000,"DW","","BANK OF AMERICA","Bank of America","f0000300188 "
"186","10/18/2001",2002,1000,"DW","","BANK OF AMERICA","Bank of America","a0000314859 "
"187","06/04/2002",2002,1000,"DL","","BANK OF AMERICA","Bank of America","g11006309551"
"188","12/31/2001",2002,1000,"DL","","GOLDMAN SACHS","Goldman Sachs","U00000035601"
"189","04/23/2001",2002,1000,"DI","","GOLDMAN SACHS","Goldman Sachs","g11003656591"
"190","04/26/2002",2002,1000,"DW","","MERRILL LYNCH","Merrill Lynch","a0000834255 "
"191","12/31/2001",2002,1000,"DL","","GOLDMAN SACHS","Goldman Sachs","U00000035601"
"192","08/06/2002",2002,1000,"DW","","GOLDMAN SACHS","Goldman Sachs","a0000831894 "
"193","08/06/2002",2002,1000,"DW","","GOLDMAN SACHS","Goldman Sachs","a0000831894 "
"194","06/12/2002",2002,1000,"RI","","MERRILL LYNCH","Merrill Lynch","f0010618986 "
"195","06/12/2002",2002,1000,"RI","","MERRILL LYNCH","Merrill Lynch","f0010618986 "
"196","08/12/2001",2002,1000,"DI","","MORGAN STANLEY","Morgan Stanley","f0000137995 "
"197","06/11/2002",2002,1000,"RI","","MERRILL LYNCH","Merrill Lynch","a0000961515 "
"198","06/26/2002",2002,1000,"RI","","KEY BANK","KeyCorp","b0060997420 "
"199","08/21/2001",2002,1000,"RL","","WELLS FARGO","Wells Fargo","g1100581584 "
"200","05/27/2002",2002,1000,"RW","","MORGAN STANLEY","Morgan Stanley","g1100853363 "
"201","04/26/2002",2002,1000,"RW","","MERRILL LYNCH","Merrill Lynch","g1100774442 "
"202","06/03/2002",2002,1000,"RW","","MORGAN STANLEY","Morgan Stanley","g1100770804 "
"203","09/24/2002",2002,1000,"RW","","MORGAN STANLEY","Morgan Stanley","g1100953603 "
"204","09/30/2002",2002,1000,"RW","","MORGAN STANLEY","Morgan Stanley","g1100953603 "
"205","02/21/2001",2002,1000,"DI","","MERRILL LYNCH","Merrill Lynch","e0000185909 "
"206","09/30/2002",2002,1000,"DW","","GOLDMAN SACHS","Goldman Sachs","U00000044501"
"207","06/27/2001",2002,1000,"DI","","GOLDMAN SACHS","Goldman Sachs","f00000239351"
"208","07/30/2002",2002,1000,"DW","","JP MORGAN","JPMorgan Chase & Co","d0000664144 "
"209","12/11/2001",2002,1000,"DW","","BANK OF AMERICA","Bank of America","f0000215821 "
"210","06/29/2002",2002,1000,"RW","","FIRST BANK","FirstBank","U00000043631"
"211","07/10/2002",2002,1000,"RW","","GOLDMAN SACHS","Goldman Sachs","g11003732741"
"212","06/17/2002",2002,1000,"RI","","MERRILL LYNCH","Merrill Lynch","g1100824403 "
"213","06/11/2002",2002,1000,"RI","","MERRILL LYNCH","Merrill Lynch","a0000961515 "
"214","12/31/2001",2002,1000,"DL","","GOLDMAN SACHS","Goldman Sachs","b0608629306 "
"215","04/26/2001",2002,1000,"DW","","JP MORGAN","JPMorgan Chase & Co","c0130255354 "
"216","06/29/2001",2002,1000,"DW","","GOLDMAN SACHS","Goldman Sachs","a0000435005 "
"217","06/11/2002",2002,1000,"RW","","MORGAN STANLEY","Morgan Stanley","d0000695506 "
"218","05/27/2002",2002,1000,"RW","","MORGAN STANLEY","Morgan Stanley","g1100853363 "
"219","09/24/2002",2002,1000,"DW","","MERRILL LYNCH","Merrill Lynch","d0000750424 "
"220","04/06/2001",2002,1000,"DI","","GOLDMAN SACHS","Goldman Sachs","e1110017544 "
"221","05/13/2002",2002,1000,"RW","","BANK OF AMERICA","Bank of America","f0000127841A"
"222","06/03/2002",2002,1000,"DI","","GOLDMAN SACHS","Goldman Sachs","c0130273838 "
"223","09/30/2002",2002,1000,"DW","","MORGAN STANLEY","Morgan Stanley","g1100894400 "
"224","06/07/2002",2002,1000,"RW","","MORGAN STANLEY","Morgan Stanley","g1100833746 "
"225","11/12/2001",2002,1000,"RW","","WELLS FARGO","Wells Fargo","c01602883391"
"226","11/25/2001",2002,1000,"RL","","WELLS FARGO","Wells Fargo","g1100553216 "
"227","06/11/2002",2002,1000,"RW","","MORGAN STANLEY","Morgan Stanley","d0000695506 "
"228","09/24/2002",2002,1000,"RW","","MORGAN STANLEY","Morgan Stanley","g1100953603 "
"229","08/06/2002",2002,1000,"DL","","BANK OF AMERICA","Bank of America","g1100882304 "
"230","07/05/2002",2002,1000,"RW","","KEY BANK","KeyCorp","g1100941080A"
"231","04/06/2001",2002,1000,"DI","","MERRILL LYNCH","Merrill Lynch","b0608435214 "
"232","04/24/2002",2002,1000,"RW","","MERRILL LYNCH","Merrill Lynch","g1100779845 "
"233","11/05/2001",2002,1000,"RW","","MORGAN STANLEY","Morgan Stanley","d0000780846 "
"234","06/26/2002",2002,1000,"RI","","KEY BANK","KeyCorp","b0060997420 "
"235","06/03/2002",2002,1000,"RW","","BANK OF AMERICA","Bank of America","e11100652051"
"236","06/25/2002",2002,1000,"DP","","MORGAN STANLEY","Morgan Stanley","a00006537291"
"237","06/17/2002",2002,1000,"RI","","MORGAN STANLEY","Morgan Stanley","U00000043241"
"238","02/19/2002",2002,1000,"RI","","BANK OF AMERICA","Bank of America","g11005559371"
"239","06/03/2002",2002,1000,"DI","","GOLDMAN SACHS","Goldman Sachs","c0130273838 "
"240","08/16/2001",2002,1000,"DI","","GOLDMAN SACHS","Goldman Sachs","U00000000271"
"241","12/11/2001",2002,1000,"DP","","MERRILL LYNCH","Merrill Lynch","f0000286954 "
"242","06/21/2002",2002,1000,"DI","","MORGAN STANLEY","Morgan Stanley","c0130270135 "
"243","05/03/2001",2002,1000,"DW","","MERRILL LYNCH","Merrill Lynch","c0070058291 "
"244","06/24/2002",2002,1000,"DL","","GOLDMAN SACHS","Goldman Sachs","U00000035601"
"245","06/26/2002",2002,1000,"DL","","JP MORGAN","JPMorgan Chase & Co","b9060132341 "
"246","07/30/2002",2002,1000,"DL","","GOLDMAN SACHS","Goldman Sachs","g1100865354 "
"247","05/14/2002",2002,1000,"DP","","MERRILL LYNCH","Merrill Lynch","f0000067841 "
"248","06/21/2002",2002,1000,"DI","","MORGAN STANLEY","Morgan Stanley","c0130270135 "
"249","04/17/2002",2002,1000,"DI","","MORGAN STANLEY","Morgan Stanley","b0060308148 "
"250","04/11/2002",2002,1000,"DI","","MORGAN STANLEY","Morgan Stanley","b0060200162 "
"251","03/06/2001",2002,1000,"DI","","MERRILL LYNCH","Merrill Lynch","b0060557871 "
"252","05/31/2002",2002,1000,"RW","","MORGAN STANLEY","Morgan Stanley","b0608346523 "
"253","04/29/2002",2002,1000,"DL","","MORGAN STANLEY","Morgan Stanley","U00000043241"
"254","05/09/2002",2002,1000,"DL","","GOLDMAN SACHS","Goldman Sachs","U00000036291"
"255","04/25/2002",2002,1000,"DL","","BANK OF AMERICA","Bank of America","f0000140920 "
"256","12/11/2001",2002,1000,"DP","","MERRILL LYNCH","Merrill Lynch","f0000286954 "
"257","11/30/2001",2002,1000,"DL","","GOLDMAN SACHS","Goldman Sachs","b0608570030 "
"258","06/27/2001",2002,1000,"DI","","GOLDMAN SACHS","Goldman Sachs","U00000000271"
"259","01/22/2002",2002,1000,"DI","","MORGAN STANLEY","Morgan Stanley","c0140275969 "
"260","05/29/2002",2002,1000,"DI","","GOLDMAN SACHS","Goldman Sachs","g1100800142 "
"261","01/22/2002",2002,1000,"DI","","MORGAN STANLEY","Morgan Stanley","c0140275969 "
"262","12/11/2001",2002,1000,"DW","","BANK OF AMERICA","Bank of America","f1000194092 "
"263","06/11/2002",2002,1000,"RW","","GOLDMAN SACHS","Goldman Sachs","b0060079193 "
"264","02/04/2002",2002,1000,"DI","","MORGAN STANLEY","Morgan Stanley","d0000748126 "
"265","02/04/2002",2002,1000,"DI","","MORGAN STANLEY","Morgan Stanley","d0000748126 "
"266","04/17/2002",2002,1000,"DI","","MORGAN STANLEY","Morgan Stanley","b9060201786 "
"267","04/06/2001",2002,1000,"DI","","MERRILL LYNCH","Merrill Lynch","g1100511711 "
"268","12/31/2001",2002,1000,"DI","","MORGAN STANLEY","Morgan Stanley","f1100242366 "
"269","12/30/2001",2002,1000,"DI","","GOLDMAN SACHS","Goldman Sachs","U00000043151"
"270","01/31/2002",2002,1000,"RI","","GOLDMAN SACHS","Goldman Sachs","a0001676091 "
"271","06/27/2001",2002,1000,"DI","","GOLDMAN SACHS","Goldman Sachs","U00000000271"
"272","04/06/2001",2002,1000,"DI","","MERRILL LYNCH","Merrill Lynch","b9060169733 "
"273","03/06/2001",2002,1000,"DI","","MERRILL LYNCH","Merrill Lynch","f1000629997 "
"274","06/29/2001",2002,1000,"DI","","MERRILL LYNCH","Merrill Lynch","e11102094511"
"275","06/22/2001",2002,1000,"DW","","MERRILL LYNCH","Merrill Lynch","c0070058291 "
"276","02/27/2001",2002,1000,"DI","","MERRILL LYNCH","Merrill Lynch","b0060494106 "
"277","03/06/2001",2002,1000,"DI","","MERRILL LYNCH","Merrill Lynch","f1100213826 "
"278","03/06/2001",2002,1000,"DI","","MERRILL LYNCH","Merrill Lynch","c0209878637 "
"279","06/29/2001",2002,1000,"DI","","MERRILL LYNCH","Merrill Lynch","e1110747164 "
"280","09/18/2001",2002,1000,"DI","","MORGAN STANLEY","Morgan Stanley","g1100565585 "
"281","12/04/2001",2002,1000,"DW","","BANK OF AMERICA","Bank of America","b9060166581 "
"282","12/11/2001",2002,1000,"DW","","BANK OF AMERICA","Bank of America","a0001159372 "
"283","08/02/2001",2002,1000,"DP","","MERRILL LYNCH","Merrill Lynch","a0000834255 "
"284","01/22/2002",2002,1000,"DI","","MERRILL LYNCH","Merrill Lynch","g1100840766 "
"285","05/23/2002",2002,1000,"DI","","MERRILL LYNCH","Merrill Lynch","g1100845921 "
"286","08/13/2001",2002,1000,"DW","","GOLDMAN SACHS","Goldman Sachs","a0000332914 "
"287","05/15/2001",2002,1000,"DW","","MORGAN STANLEY","Morgan Stanley","d1007289980 "
"288","04/25/2001",2002,1000,"DW","","GOLDMAN SACHS","Goldman Sachs","d1006459130 "
"289","05/24/2002",2002,1000,"RW","","GOLDMAN SACHS","Goldman Sachs","f1000626707 "
"290","08/13/2001",2002,1000,"DW","","GOLDMAN SACHS","Goldman Sachs","a0000332914 "
"291","04/26/2001",2002,1000,"DW","","JP MORGAN","JPMorgan Chase & Co","g1100424191 "
"292","04/26/2001",2002,1000,"RI","","BANK OF AMERICA","Bank of America","f0000015178 "
"293","02/23/2001",2002,1000,"DW","","MERRILL LYNCH","Merrill Lynch","g1100482310 "
